Wahl, Wahlberechtigte, Fakultaet, Urne, Stimmzettel, Ungueltige Stimmzettel, Ungueltige Listenstimmen, Enthaltungen Listenstimmen, Ungueltige Kandidatenstimmen, Enthaltungen Kandidatenstimmen
Frauen, 5691, Geo, 1, 16, 0, 0, 0, 0, 0
Frauen, 5691, Geo, 2, 13, 0, 0, 0, 0, 0
Frauen, 5691, Gerthsen, 1, 20, 0, 0, 0, 0, 1
Frauen, 5691, Gerthsen, 2, 0, , , , , 
Frauen, 5691, HMU, 1, 13, 0, 0, 0, 0, 1
Frauen, 5691, Info, 2, 4, 0, 0, 0, 0, 0
Frauen, 5691, Info, 3, 9, 0, 0, 0, 0, 1
Frauen, 5691, Info, 4, 1, 0, 0, 0, 0, 0
Frauen, 5691, Info, 5, 11, 0, 0, 0, 0, 1
Frauen, 5691, Mach/CIW, 1, 12, 0, 0, 0, 0, 0
Frauen, 5691, Mach/CIW, 2, 17, 0, 0, 0, 0, 0
Frauen, 5691, Mach/CIW, 3, 13, 0, 0, 0, 0, 0
Frauen, 5691, Mach/CIW, 4, 15, 0, 0, 0, 0, 1
Frauen, 5691, Mach/CIW, 5, 9, 0, 0, 0, 0, 0
Frauen, 5691, Mach/CIW, 6, 0, 0, 0, 0, 0, 0
Frauen, 5691, Mach/CIW, 7, 0, , , , , 
Frauen, 5691, Mach/CIW, 8, 0, , , , , 
Frauen, 5691, Mach/CIW, 9, 0, , , , , 
Frauen, 5691, Mach/CIW, 10, 0, , , , , 
Frauen, 5691, Mathe, 1, 36, 0, 0, 0, 0, 0
Frauen, 5691, Mathe, 2, 9, 0, 0, 0, 0, 1
Frauen, 5691, Mathe, 3, 10, 0, 0, 0, 0, 1
Frauen, 5691, Mathe, 4, 26, 0, 0, 0, 0, 3
Frauen, 5691, Mathe, 5, 19, 1, 0, 0, 0, 1
Frauen, 5691, Mathe, 6, 0, , , , , 
Frauen, 5691, Mensa, 1, 48, 0, 0, 0, 0, 0
Frauen, 5691, Mensa, 2, 36, 0, 0, 0, 0, 0
Frauen, 5691, Mensa, 3, 42, 0, 0, 0, 0, 1
Frauen, 5691, Mensa, 4, 25, 0, 0, 0, 0, 0
Frauen, 5691, Mobil, 1, 23, 0, 0, 0, 0, 0
Frauen, 5691, Physik, 1, 35, 1, 0, 0, 0, 1
Frauen, 5691, Physik, 3, 20, 0, 0, 0, 0, 1
Frauen, 5691, Physik, 4, 14, 0, 0, 0, 0, 3
Frauen, 5691, Physik, 5, 9, 0, 0, 0, 0, 0
Frauen, 5691, RZ, 1, 0, , , , , 
Frauen, 5691, Westhochschule, 1, 5, 0, 0, 0, 0, 1
Frauen, 5691, Wiwi, 1, 22, 0, 0, 0, 0, 0
Frauen, 5691, Wiwi, 2, 25, 0, 0, 0, 0, 1
Frauen, 5691, Wiwi, 3, 24, 0, 0, 0, 0, 0
Frauen, 5691, Wiwi, 4, 20, 0, 0, 0, 0, 0
Frauen, 5691, Wiwi, 5, 1, 0, 0, 0, 0, 0
Frauen, 5691, Wiwi, 6, 6, 0, 0, 0, 0, 1
Frauen, 5691, Wiwi, 7, 0, , , , , 
Frauen, 5691, Wiwi, 8, 0, , , , , 
FS Bau, 1167, AKK, 1, 10, 0, 0, 0, 0, 0
FS Bau, 1167, AKK, 2, 1, 0, 0, 0, 0, 0
FS Bau, 1167, Audimax, 1, 1, 0, 0, 0, 0, 0
FS Bau, 1167, Chemie/Bio, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Chemie/Bio, 2, 0, , , , , 
FS Bau, 1167, ETEC, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, ETEC, 2, 0, 0, 0, 0, 0, 0
FS Bau, 1167, ETEC, 3, 0, 0, 0, 0, 0, 0
FS Bau, 1167, ETEC, 4, 5, 0, 0, 0, 0, 0
FS Bau, 1167, ETEC, 5, 7, 0, 0, 0, 0, 0
FS Bau, 1167, ETEC, 6, 0, 0, 0, 0, 0, 0
FS Bau, 1167, ETEC, 7, 0, 0, 0, 0, 0, 0
FS Bau, 1167, GeistSoz, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, GeistSoz, 2, 0, 0, 0, 0, 0, 0
FS Bau, 1167, GeistSoz, 3, 0, 0, 0, 0, 0, 0
FS Bau, 1167, GeistSoz, 4, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Geo, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Geo, 2, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Gerthsen, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Gerthsen, 2, 0, , , , , 
FS Bau, 1167, HMU, 1, 1, 0, 0, 0, 0, 0
FS Bau, 1167, Info, 2, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Info, 3, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Info, 4, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Info, 5, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Mach/CIW, 1, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Mach/CIW, 2, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Mach/CIW, 3, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Mach/CIW, 4, 8, 0, 0, 0, 0, 0
FS Bau, 1167, Mach/CIW, 5, 0, 0, 0, 0, 0, 0
FS Bau, 1167, Mach/CIW, 6, 0, 0, 0, 0, 0, 0
